id,name,sort_no,province_id,discriminator_type
"1","Quận Ba Đình","1","1","district"
"2","Quận Hoàn Kiếm","2","1","district"
"3","Quận Tây Hồ","3","1","district"
"4","Quận Long Biên","4","1","district"
"5","Quận Cầu Giấy","5","1","district"
"6","Quận Đống Đa","6","1","district"
"7","Quận Hai Bà Trưng","7","1","district"
"8","Quận Hoàng Mai","8","1","district"
"9","Quận Thanh Xuân","9","1","district"
"16","Huyện Sóc Sơn","16","1","district"
"17","Huyện Đông Anh","17","1","district"
"18","Huyện Gia Lâm","18","1","district"
"19","Quận Nam Từ Liêm","19","1","district"
"20","Huyện Thanh Trì","20","1","district"
"21","Quận Bắc Từ Liêm","21","1","district"
"250","Huyện Mê Linh","250","1","district"
"268","Quận Hà Đông","268","1","district"
"269","Thị xã Sơn Tây","269","1","district"
"271","Huyện Ba Vì","271","1","district"
"272","Huyện Phúc Thọ","272","1","district"
"273","Huyện Đan Phượng","273","1","district"
"274","Huyện Hoài Đức","274","1","district"
"275","Huyện Quốc Oai","275","1","district"
"276","Huyện Thạch Thất","276","1","district"
"277","Huyện Chương Mỹ","277","1","district"
"278","Huyện Thanh Oai","278","1","district"
"279","Huyện Thường Tín","279","1","district"
"280","Huyện Phú Xuyên","280","1","district"
"281","Huyện Ứng Hòa","281","1","district"
"282","Huyện Mỹ Đức","282","1","district"
"24","Thành phố Hà Giang","24","2","district"
"26","Huyện Đồng Văn","26","2","district"
"27","Huyện Mèo Vạc","27","2","district"
"28","Huyện Yên Minh","28","2","district"
"29","Huyện Quản Bạ","29","2","district"
"30","Huyện Vị Xuyên","30","2","district"
"31","Huyện Bắc Mê","31","2","district"
"32","Huyện Hoàng Su Phì","32","2","district"
"33","Huyện Xín Mần","33","2","district"
"34","Huyện Bắc Quang","34","2","district"
"35","Huyện Quang Bình","35","2","district"
"40","Thành phố Cao Bằng","40","4","district"
"42","Huyện Bảo Lâm","42","4","district"
"43","Huyện Bảo Lạc","43","4","district"
"45","Huyện Hà Quảng","45","4","district"
"47","Huyện Trùng Khánh","47","4","district"
"48","Huyện Hạ Lang","48","4","district"
"49","Huyện Quảng Hòa","49","4","district"
"51","Huyện Hoà An","51","4","district"
"52","Huyện Nguyên Bình","52","4","district"
"53","Huyện Thạch An","53","4","district"
"58","Thành Phố Bắc Kạn","58","6","district"
"60","Huyện Pác Nặm","60","6","district"
"61","Huyện Ba Bể","61","6","district"
"62","Huyện Ngân Sơn","62","6","district"
"63","Huyện Bạch Thông","63","6","district"
"64","Huyện Chợ Đồn","64","6","district"
"65","Huyện Chợ Mới","65","6","district"
"66","Huyện Na Rì","66","6","district"
"70","Thành phố Tuyên Quang","70","8","district"
"71","Huyện Lâm Bình","71","8","district"
"72","Huyện Na Hang","72","8","district"
"73","Huyện Chiêm Hóa","73","8","district"
"74","Huyện Hàm Yên","74","8","district"
"75","Huyện Yên Sơn","75","8","district"
"76","Huyện Sơn Dương","76","8","district"
