id,name,sort_no,discriminator_type
"1","Thành phố Hà Nội","1","pref"
"2","Tỉnh Hà Giang","2","pref"
"4","Tỉnh Cao Bằng","4","pref"
"6","Tỉnh Bắc Kạn","6","pref"
"8","Tỉnh Tuyên Quang","8","pref"
"10","Tỉnh Lào Cai","10","pref"
"11","Tỉnh Điện Biên","11","pref"
"12","Tỉnh Lai Châu","12","pref"
"14","Tỉnh Sơn La","14","pref"
"15","Tỉnh Yên Bái","15","pref"
"17","Tỉnh Hoà Bình","17","pref"
"19","Tỉnh Thái Nguyên","19","pref"
"20","Tỉnh Lạng Sơn","20","pref"
"22","Tỉnh Quảng Ninh","22","pref"
"24","Tỉnh Bắc Giang","24","pref"
"25","Tỉnh Phú Thọ","25","pref"
"26","Tỉnh Vĩnh Phúc","26","pref"
"27","Tỉnh Bắc Ninh","27","pref"
"30","Tỉnh Hải Dương","30","pref"
"31","Thành phố Hải Phòng","31","pref"
"33","Tỉnh Hưng Yên","33","pref"
"34","Tỉnh Thái Bình","34","pref"
"35","Tỉnh Hà Nam","35","pref"
"36","Tỉnh Nam Định","36","pref"
"37","Tỉnh Ninh Bình","37","pref"
"38","Tỉnh Thanh Hóa","38","pref"
"40","Tỉnh Nghệ An","40","pref"
"42","Tỉnh Hà Tĩnh","42","pref"
"44","Tỉnh Quảng Bình","44","pref"
"45","Tỉnh Quảng Trị","45","pref"
"46","Tỉnh Thừa Thiên Huế","46","pref"
"48","Thành phố Đà Nẵng","48","pref"
"49","Tỉnh Quảng Nam","49","pref"
"51","Tỉnh Quảng Ngãi","51","pref"
"52","Tỉnh Bình Định","52","pref"
"54","Tỉnh Phú Yên","54","pref"
"56","Tỉnh Khánh Hòa","56","pref"
"58","Tỉnh Ninh Thuận","58","pref"
"60","Tỉnh Bình Thuận","60","pref"
"62","Tỉnh Kon Tum","62","pref"
"64","Tỉnh Gia Lai","64","pref"
"66","Tỉnh Đắk Lắk","66","pref"
"67","Tỉnh Đắk Nông","67","pref"
"68","Tỉnh Lâm Đồng","68","pref"
"70","Tỉnh Bình Phước","70","pref"
"72","Tỉnh Tây Ninh","72","pref"
"74","Tỉnh Bình Dương","74","pref"
"75","Tỉnh Đồng Nai","75","pref"
"77","Tỉnh Bà Rịa - Vũng Tàu","77","pref"
"79","Thành phố Hồ Chí Minh","79","pref"
"80","Tỉnh Long An","80","pref"
"82","Tỉnh Tiền Giang","82","pref"
"83","Tỉnh Bến Tre","83","pref"
"84","Tỉnh Trà Vinh","84","pref"
"86","Tỉnh Vĩnh Long","86","pref"
"87","Tỉnh Đồng Tháp","87","pref"
"89","Tỉnh An Giang","89","pref"
"91","Tỉnh Kiên Giang","91","pref"
"92","Thành phố Cần Thơ","92","pref"
"93","Tỉnh Hậu Giang","93","pref"
"94","Tỉnh Sóc Trăng","94","pref"
"95","Tỉnh Bạc Liêu","95","pref"
"96","Tỉnh Cà Mau","96","pref"
