id,district_id,name,sort_no,discriminator_type
"1","1","Phường Phúc Xá","1","ward"
"4","1","Phường Trúc Bạch","4","ward"
"6","1","Phường Vĩnh Phúc","6","ward"
"7","1","Phường Cống Vị","7","ward"
"8","1","Phường Liễu Giai","8","ward"
"10","1","Phường Nguyễn Trung Trực","10","ward"
"13","1","Phường Quán Thánh","13","ward"
"16","1","Phường Ngọc Hà","16","ward"
"19","1","Phường Điện Biên","19","ward"
"22","1","Phường Đội Cấn","22","ward"
"25","1","Phường Ngọc Khánh","25","ward"
"28","1","Phường Kim Mã","28","ward"
"31","1","Phường Giảng Võ","31","ward"
"34","1","Phường Thành Công","34","ward"
"37","2","Phường Phúc Tân","37","ward"
"40","2","Phường Đồng Xuân","40","ward"
"43","2","Phường Hàng Mã","43","ward"
"46","2","Phường Hàng Buồm","46","ward"
"49","2","Phường Hàng Đào","49","ward"
"52","2","Phường Hàng Bồ","52","ward"
"55","2","Phường Cửa Đông","55","ward"
"58","2","Phường Lý Thái Tổ","58","ward"
"61","2","Phường Hàng Bạc","61","ward"
"64","2","Phường Hàng Gai","64","ward"
"67","2","Phường Chương Dương","67","ward"
"70","2","Phường Hàng Trống","70","ward"
"73","2","Phường Cửa Nam","73","ward"
"76","2","Phường Hàng Bông","76","ward"
"79","2","Phường Tràng Tiền","79","ward"
"82","2","Phường Trần Hưng Đạo","82","ward"
"85","2","Phường Phan Chu Trinh","85","ward"
"88","2","Phường Hàng Bài","88","ward"
"91","3","Phường Phú Thượng","91","ward"
"94","3","Phường Nhật Tân","94","ward"
"97","3","Phường Tứ Liên","97","ward"
"100","3","Phường Quảng An","100","ward"
"103","3","Phường Xuân La","103","ward"
"106","3","Phường Yên Phụ","106","ward"
"109","3","Phường Bưởi","109","ward"
"112","3","Phường Thụy Khuê","112","ward"
"115","4","Phường Thượng Thanh","115","ward"
"118","4","Phường Ngọc Thụy","118","ward"
"121","4","Phường Giang Biên","121","ward"
"124","4","Phường Đức Giang","124","ward"
"127","4","Phường Việt Hưng","127","ward"
"130","4","Phường Gia Thụy","130","ward"
"133","4","Phường Ngọc Lâm","133","ward"
"136","4","Phường Phúc Lợi","136","ward"
"139","4","Phường Bồ Đề","139","ward"
"142","4","Phường Sài Đồng","142","ward"
"145","4","Phường Long Biên","145","ward"
"148","4","Phường Thạch Bàn","148","ward"
"151","4","Phường Phúc Đồng","151","ward"
"154","4","Phường Cự Khối","154","ward"
"157","5","Phường Nghĩa Đô","157","ward"
